company_name,domain,score,num_pages,pages_with_both,distinct_queries,serp_snippet_hits,avg_proximity,avg_page_length,social_flag,num_pages_scaled,pages_with_both_scaled,distinct_queries_scaled,serp_snippet_hits_scaled,inv_proximity_scaled,avg_page_length_scaled,country,date_collected
M Kopa,m-kopa.com,0.011871395579781585,1,1,1,0,840.0,5157.0,0,0.0,0.034482758620689655,0.0,0.0,0.0023781212841854932,0.00010293393860698146,Mali,2026-03-20
Checkout,checkout.com,0.011536348949015172,1,1,1,0,3102.0,26922.0,0,0.0,0.034482758620689655,0.0,0.0,0.0006445375443119562,0.0005373642612327234,Mali,2026-03-20
Lemfi,lemfi.com,0.01148088554145868,1,1,1,0,4146.0,5532.0,0,0.0,0.034482758620689655,0.0,0.0,0.0004822763443453099,0.00011041895450335881,Mali,2026-03-20
Kafojiginew,kafojiginew.org,0.0025476727679829237,1,0,1,2,,2111.0,0,0.0,0.0,0.0,0.024691358024691357,0.0,4.213564948600695e-05,Mali,2026-03-20
Adyen,adyen.com,0.00127330188698003,1,0,1,1,,536.0,0,0.0,0.0,0.0,0.012345679012345678,0.0,1.069858272122204e-05,Mali,2026-03-20
Tollfreeforwarding,tollfreeforwarding.com,3.861033560733377e-05,1,0,1,0,,37527.0,0,0.0,0.0,0.0,0.0,0.0,0.0007490405107822752,Mali,2026-03-20
Prepaid mobile ...,mobilitypass.com,2.6758803221028504e-05,1,0,1,0,,26008.0,0,0.0,0.0,0.0,0.0,0.0,0.000519120782487953,Mali,2026-03-20
FR Jackery,fr.jackery.com,1.5373348113219315e-05,1,0,1,0,,14942.0,0,0.0,0.0,0.0,0.0,0.0,0.0002982429533964547,Mali,2026-03-20
Elikkia,elikkia.com,8.681589571633286e-06,1,0,1,0,,8438.0,0,0.0,0.0,0.0,0.0,0.0,0.00016842283768968576,Mali,2026-03-20
Kriya,kriya.co,8.388362144764895e-06,1,0,1,0,,8153.0,0,0.0,0.0,0.0,0.0,0.0,0.00016273422560843899,Mali,2026-03-20
Phoneclub,phoneclub.com,7.937717888735578e-06,1,0,1,0,,7715.0,0,0.0,0.0,0.0,0.0,0.0,0.0001539917270414702,Mali,2026-03-20
Cards Talk Home,cards.talk-home.com,7.5704119540267505e-06,1,0,1,0,,7358.0,0,0.0,0.0,0.0,0.0,0.0,0.00014686599190811897,Mali,2026-03-20
Phoneliberia,phoneliberia.com,6.896503306311676e-06,1,0,1,0,,6703.0,0,0.0,0.0,0.0,0.0,0.0,0.00013379216414244652,Mali,2026-03-20
Pingo,pingo.com,6.496273590340432e-06,1,0,1,0,,6314.0,0,0.0,0.0,0.0,0.0,0.0,0.0001260277076526044,Mali,2026-03-20
ALEXBANK,alexbank.com,6.044600466146665e-06,1,0,1,0,,5875.0,0,0.0,0.0,0.0,0.0,0.0,0.0001172652490432453,Mali,2026-03-20
Safaricom,safaricom.co.ke,5.886154768821289e-06,1,0,1,0,,5721.0,0,0.0,0.0,0.0,0.0,0.0,0.000114191402515133,Mali,2026-03-20
Sbimali,sbimali.com,5.302786519577857e-06,1,0,1,0,,5154.0,0,0.0,0.0,0.0,0.0,0.0,0.00010287405847981044,Mali,2026-03-20
BNPL Solution,eg.visamiddleeast.com,4.936509453033481e-06,1,0,1,0,,4798.0,0,0.0,0.0,0.0,0.0,0.0,9.576828338884953e-05,Mali,2026-03-20
Lendlay,lendlay.com,4.885066044810956e-06,1,0,1,0,,4748.0,0,0.0,0.0,0.0,0.0,0.0,9.477028126933255e-05,Mali,2026-03-20
Agrégateur de paiement par mobile ...,kkiapay.me,4.68546562090756e-06,1,0,1,0,,4554.0,0,0.0,0.0,0.0,0.0,0.0,9.089803304560667e-05,Mali,2026-03-20
Visa CA,visa.ca,4.4858651970041636e-06,1,0,1,0,,4360.0,0,0.0,0.0,0.0,0.0,0.0,8.702578482188077e-05,Mali,2026-03-20
Mfw4a,mfw4a.org,2.5433621025216262e-06,1,0,1,0,,2472.0,0,0.0,0.0,0.0,0.0,0.0,4.9341224788919555e-05,Mali,2026-03-20
Globalfinancingfacility,globalfinancingfacility.org,2.100948791807913e-06,1,0,1,0,,2042.0,0,0.0,0.0,0.0,0.0,0.0,4.0758406561073515e-05,Mali,2026-03-20
Colorbayvillagemilanomarittima IT,colorbayvillagemilanomarittima.it,1.909579313220121e-06,1,0,1,0,,1856.0,0,0.0,0.0,0.0,0.0,0.0,3.704583867647035e-05,Mali,2026-03-20
Justdial,justdial.com,1.899290631575616e-06,1,0,1,0,,1846.0,0,0.0,0.0,0.0,0.0,0.0,3.684623825256695e-05,Mali,2026-03-20
Wirelessplace,wirelessplace.com,1.7377583297568881e-06,1,0,1,0,,1689.0,0,0.0,0.0,0.0,0.0,0.0,3.371251159728363e-05,Mali,2026-03-20
Remitly,remitly.com,1.4023473081460263e-06,1,0,1,0,,1363.0,0,0.0,0.0,0.0,0.0,0.0,2.7205537778032912e-05,Mali,2026-03-20
Edmsa ML,edmsa.ml,1.076196100015219e-06,1,0,1,0,,1046.0,0,0.0,0.0,0.0,0.0,0.0,2.087820434029525e-05,Mali,2026-03-20
Mali,shivammali.com,6.90370538346283e-07,1,0,1,0,,671.0,0,0.0,0.0,0.0,0.0,0.0,1.339318844391789e-05,Mali,2026-03-20
Wave,wave.com,5.545599406388174e-07,1,0,1,0,,539.0,0,0.0,0.0,0.0,0.0,0.0,1.0758462848393058e-05,Mali,2026-03-20
Phantom,mobile-phantom.com,1.090600254317526e-07,1,0,1,0,,106.0,0,0.0,0.0,0.0,0.0,0.0,2.1157644933760004e-06,Mali,2026-03-20
